,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner_team,goal_difference
23992,2001-08-17,United Arab Emirates,Uzbekistan,4,1,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,False,United Arab Emirates,3
23993,2001-08-18,Zambia,Angola,1,1,COSAFA Cup,Lusaka,Zambia,False,Draw,0
23994,2001-08-23,Bahrain,Iraq,2,0,FIFA World Cup qualification,Riffa,Bahrain,False,Bahrain,2
23995,2001-08-23,Mexico,Liberia,5,4,Friendly,Veracruz,Mexico,False,Mexico,1
23996,2001-08-24,Iran,Saudi Arabia,2,0,FIFA World Cup qualification,Teheran,Iran,False,Iran,2
23997,2001-08-25,China,United Arab Emirates,3,0,FIFA World Cup qualification,Shenyang,China,False,China,3
23998,2001-08-25,Malawi,Zimbabwe,0,2,COSAFA Cup,Blantyre,Malawi,False,Zimbabwe,2
23999,2001-08-26,Uzbekistan,Qatar,2,1,FIFA World Cup qualification,Tashkent,Uzbekistan,False,Uzbekistan,1
24000,2001-08-31,Oman,China,0,2,FIFA World Cup qualification,Muscat,Oman,False,China,2
24001,2001-08-31,Saudi Arabia,Iraq,1,0,FIFA World Cup qualification,Riffa,Bahrain,True,Saudi Arabia,1
24002,2001-08-31,United Arab Emirates,Qatar,0,2,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,False,Qatar,2
24003,2001-09-01,Albania,Finland,0,2,FIFA World Cup qualification,Tirana,Albania,False,Finland,2
24004,2001-09-01,Andorra,Portugal,1,7,FIFA World Cup qualification,Lleida,Spain,True,Portugal,6
24005,2001-09-01,Belarus,Ukraine,0,2,FIFA World Cup qualification,Minsk,Belarus,False,Ukraine,2
24006,2001-09-01,Bosnia-Herzegovina,Israel,0,0,FIFA World Cup qualification,Sarajevo,Bosnia-Herzegovina,False,Draw,0
24007,2001-09-01,Chile,France,2,1,Friendly,Santiago,Chile,False,Chile,1
24008,2001-09-01,Denmark,Northern Ireland,1,1,FIFA World Cup qualification,Copenhagen,Denmark,False,Draw,0
24009,2001-09-01,Faroe Islands,Luxembourg,1,0,FIFA World Cup qualification,Toftir,Faroe Islands,False,Faroe Islands,1
24010,2001-09-01,Georgia,Hungary,3,1,FIFA World Cup qualification,Tbilisi,Georgia,False,Georgia,2
24011,2001-09-01,Germany,England,1,5,FIFA World Cup qualification,Munich,Germany,False,England,4
24012,2001-09-01,Iceland,Czech Republic,3,1,FIFA World Cup qualification,Reykjavík,Iceland,False,Iceland,2
24013,2001-09-01,Ireland,Netherlands,1,0,FIFA World Cup qualification,Dublin,Ireland,False,Ireland,1
24014,2001-09-01,Lithuania,Italy,0,0,FIFA World Cup qualification,Kaunas,Lithuania,False,Draw,0
24015,2001-09-01,Macedonia,Sweden,1,2,FIFA World Cup qualification,Skopje,Macedonia,False,Sweden,1
24016,2001-09-01,Malta,Bulgaria,0,2,FIFA World Cup qualification,Attard,Malta,False,Bulgaria,2
24017,2001-09-01,Moldova,Azerbaijan,2,0,FIFA World Cup qualification,Chişinău,Moldova,False,Moldova,2
24018,2001-09-01,Poland,Norway,3,0,FIFA World Cup qualification,Chorzów,Poland,False,Poland,3
24019,2001-09-01,Scotland,Croatia,0,0,FIFA World Cup qualification,Glasgow,Scotland,False,Draw,0
24020,2001-09-01,Slovakia,Turkey,0,1,FIFA World Cup qualification,Bratislava,Slovakia,False,Turkey,1
